epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,777.263,1.34465,2.58831,4.30655,1.31471,0.10009,0.30108,0.1657,0.13196,0.09781,0.28947,0.1571,0.11959,0.94886,1.82976,4.1116,1.03261,0.000142364,0.000142364,0.000142364
2,1576.16,1.08827,1.7035,3.28249,1.08438,0.91393,0.25834,0.43732,0.34353,0.89591,0.24811,0.4158,0.31734,1.00446,1.46244,3.162,1.08329,0.000281674,0.000281674,0.000281674
3,2437.5,1.10824,1.54845,2.2328,1.08736,0.78695,0.61188,0.66696,0.4985,0.76824,0.60085,0.64685,0.47291,0.98268,1.29119,1.6825,1.07999,0.000415242,0.000415242,0.000415242
4,3257.25,1.01873,1.43495,1.56719,1.05046,0.74801,0.71952,0.75251,0.5641,0.74878,0.71169,0.74565,0.54235,0.89271,1.17608,1.25268,1.04119,0.000409161,0.000409161,0.000409161
5,4085.81,0.95141,1.32478,1.27251,1.02379,0.7701,0.76855,0.80775,0.61048,0.75563,0.76097,0.78402,0.5687,0.82264,1.14415,1.04029,1.00952,0.000400548,0.000400548,0.000400548
6,4904.34,0.90284,1.28618,1.13388,1.00657,0.75453,0.8307,0.84044,0.64509,0.74614,0.82321,0.82503,0.60412,0.76813,1.0545,0.95548,0.98548,0.000391935,0.000391935,0.000391935
7,5769.36,0.84865,1.21943,1.0382,0.98239,0.84083,0.80352,0.86776,0.67273,0.83207,0.79357,0.84784,0.63169,0.75063,1.06016,0.88723,0.97097,0.000383322,0.000383322,0.000383322
8,6515.38,0.82307,1.1788,0.98035,0.97589,0.81624,0.82602,0.8675,0.67346,0.81783,0.82112,0.85542,0.63617,0.75708,1.01455,0.89213,0.97241,0.000374709,0.000374709,0.000374709
9,7259.2,0.8071,1.16865,0.94495,0.96857,0.81066,0.86663,0.88685,0.69219,0.78954,0.86755,0.87529,0.6564,0.73449,0.98627,0.84896,0.96094,0.000366096,0.000366096,0.000366096
10,8042.37,0.79315,1.12735,0.91095,0.95773,0.84317,0.88215,0.90715,0.70855,0.8505,0.85256,0.88944,0.67626,0.73186,0.99881,0.81926,0.95005,0.000357483,0.000357483,0.000357483
11,8796.07,0.77616,1.11177,0.89868,0.95341,0.82152,0.88924,0.89972,0.70427,0.81406,0.88519,0.88979,0.66789,0.70394,0.95351,0.79337,0.95026,0.00034887,0.00034887,0.00034887
12,9549.07,0.76524,1.0741,0.86305,0.94879,0.85011,0.89182,0.9125,0.72421,0.83806,0.8833,0.89949,0.67798,0.69006,0.95521,0.76336,0.94058,0.000340257,0.000340257,0.000340257
13,10317.7,0.75443,1.05812,0.82789,0.94848,0.84159,0.87026,0.90896,0.71649,0.83174,0.86763,0.89738,0.68511,0.68837,0.95236,0.76704,0.93894,0.000331644,0.000331644,0.000331644
14,11067.1,0.74432,1.04744,0.81026,0.94353,0.84317,0.87504,0.89854,0.72082,0.84618,0.85049,0.88392,0.67747,0.69591,0.93719,0.7485,0.93932,0.000323031,0.000323031,0.000323031
15,11816.8,0.7421,1.0363,0.79333,0.93981,0.85841,0.88946,0.91705,0.73215,0.855,0.8772,0.90268,0.69302,0.67926,0.90778,0.72665,0.93076,0.000314418,0.000314418,0.000314418
16,12556.8,0.71991,1.00559,0.77523,0.93582,0.84615,0.9024,0.90129,0.72811,0.83807,0.9024,0.89408,0.69107,0.67804,0.89227,0.73428,0.93058,0.000305805,0.000305805,0.000305805
17,13301.1,0.72187,0.99875,0.76232,0.93105,0.84846,0.905,0.91813,0.73957,0.83634,0.89399,0.89975,0.69973,0.65286,0.87899,0.70643,0.92319,0.000297192,0.000297192,0.000297192
18,14042.5,0.71413,1.00584,0.76304,0.92661,0.84295,0.91821,0.91694,0.73735,0.83771,0.90533,0.90576,0.70134,0.66257,0.8716,0.69152,0.92143,0.000288579,0.000288579,0.000288579
19,14787.4,0.70157,0.9787,0.74547,0.93011,0.87083,0.89274,0.92417,0.7403,0.86617,0.88393,0.9126,0.69456,0.65381,0.86159,0.68087,0.92104,0.000279966,0.000279966,0.000279966
20,15525.4,0.69124,0.95463,0.72986,0.92627,0.86151,0.90714,0.93149,0.75455,0.85436,0.90097,0.91942,0.71201,0.64417,0.85844,0.68659,0.91588,0.000271353,0.000271353,0.000271353
21,16265.8,0.68401,0.96078,0.72305,0.92458,0.83993,0.91477,0.91535,0.74803,0.83112,0.90429,0.90406,0.71187,0.63129,0.84848,0.67078,0.91318,0.00026274,0.00026274,0.00026274
22,17005,0.68343,0.94058,0.71246,0.92259,0.87028,0.91096,0.9264,0.75638,0.86669,0.90084,0.91715,0.71793,0.63959,0.85613,0.66675,0.91473,0.000254127,0.000254127,0.000254127
23,17743.4,0.68105,0.93399,0.71056,0.9215,0.86542,0.90132,0.92977,0.76013,0.8589,0.89319,0.91935,0.72004,0.62506,0.84724,0.64291,0.91684,0.000245514,0.000245514,0.000245514
24,18479.5,0.66359,0.90755,0.68386,0.91426,0.84193,0.90153,0.92127,0.75601,0.83802,0.89348,0.90994,0.70636,0.62834,0.84653,0.65283,0.91232,0.000236901,0.000236901,0.000236901
25,19212.9,0.66807,0.91579,0.68595,0.91549,0.85731,0.91175,0.91666,0.74853,0.84978,0.89826,0.90471,0.71335,0.62218,0.84282,0.64999,0.91205,0.000228288,0.000228288,0.000228288
26,19955.2,0.65963,0.89795,0.66998,0.91315,0.85673,0.92396,0.93119,0.76495,0.85572,0.92278,0.92536,0.7313,0.61771,0.82125,0.64436,0.90639,0.000219675,0.000219675,0.000219675
27,20695.2,0.65516,0.88723,0.66851,0.9126,0.84725,0.91646,0.92427,0.75979,0.84155,0.91367,0.91738,0.71845,0.62192,0.83382,0.64936,0.91157,0.000211062,0.000211062,0.000211062
28,21449.3,0.64685,0.89567,0.66426,0.90464,0.85939,0.91815,0.92684,0.75848,0.84788,0.90888,0.91011,0.71779,0.61559,0.80377,0.62438,0.90386,0.000202449,0.000202449,0.000202449
29,22208.7,0.64174,0.88653,0.65518,0.90939,0.85076,0.93058,0.92124,0.7604,0.84462,0.91874,0.90509,0.71627,0.61755,0.82005,0.61867,0.90507,0.000193836,0.000193836,0.000193836
